business_id,billed amount,log_billed_amount,product,product_idx,size,size_idx,region,region_idx,industry,industry_idx
b06902,433.302943664,6.07143712232,Social,2,size_less_50,1,midwest,2,furniture_stores,16
b06903,1472.11368255,7.2944545263,Social,2,size_less_50,1,south,1,other_ind,0
b06904,1614.48537987,7.38677153464,Email Marketing,1,size_less_50,1,northeast,0,other_ind,0
b06905,4660.02702072,8.44677652554,DisplayOnTarget,0,size_less_50,1,midwest,2,other_ind,0
b06906,912.392789409,6.8160705875,DisplayOnTarget,0,size_g_100,0,west,3,other_ind,0
b06907,4714.95237123,8.45849409348,SEM,3,size_g_100,0,west,3,other_ind,0
b06908,2142.34948332,7.66965839518,SEO,4,size_g_100,0,west,3,other_ind,0
b06909,2719.9944504,7.908385119,Social,2,size_g_100,0,west,3,other_ind,0
b06910,2863.84898116,7.95992179665,SEO,4,size_less_50,1,northeast,0,other_ind,0
b06911,6362.36623588,8.75815563681,SEM,3,size_less_50,1,northeast,0,beauty_salons,11
b06912,5102.12819864,8.53741302552,Social,2,size_less_50,1,northeast,0,beauty_salons,11
b06913,2015.2052954,7.60847635276,Email Marketing,1,size_less_50,1,northeast,0,new_multifamily_housing_construction_except_operative_builders,19
b06914,1592.89162865,7.37330627787,Social,2,size_less_50,1,northeast,0,new_multifamily_housing_construction_except_operative_builders,19
b06915,983.748565093,6.89137034112,Email Marketing,1,size_less_50,1,midwest,2,other_ind,0
b06916,2059.7750017,7.63035203334,Social,2,size_g_100,0,midwest,2,offices_of_real_estate_agents_and_brokers,10
b06917,2256.39386827,7.72152318438,Email Marketing,1,size_less_50,1,northeast,0,other_ind,0
b06918,9088.33912404,9.11474745585,Social,2,size_less_50,1,northeast,0,other_ind,0
b06919,1246.86198858,7.1283852648,Email Marketing,1,size_less_50,1,south,1,other_ind,0
b06920,3221.65635276,8.07765090155,DisplayOnTarget,0,size_g_100,0,south,1,other_ind,0
b06921,2898.32496599,7.97188825117,Email Marketing,1,unavailable,2,south,1,offices_of_physicians_except_mental_health_specialists,1
b06922,1887.26212135,7.54288244476,DisplayOnTarget,0,size_g_100,0,south,1,new_car_dealers,4
b06923,933.769115792,6.8392292083,Email Marketing,1,size_g_100,0,south,1,new_car_dealers,4
b06924,426.879345916,6.05650141104,Social,2,size_less_50,1,northeast,0,offices_of_real_estate_agents_and_brokers,10
b06925,6132.16989259,8.72130394551,SEM,3,size_less_50,1,west,3,new_car_dealers,4
b06926,614.396958676,6.42064123175,DisplayOnTarget,0,size_less_50,1,south,1,other_ind,0
b06927,3096.68339706,8.03808694584,SEM,3,size_less_50,1,south,1,other_ind,0
b06928,1309.10140938,7.17709623379,DisplayOnTarget,0,size_g_100,0,northeast,0,other_ind,0
b06929,4434.29917137,8.39712486002,Social,2,size_less_50,1,northeast,0,other_ind,0
b06930,367.622993854,5.90705793982,Social,2,size_less_50,1,south,1,other_ind,0
b06931,2445.83744794,7.80214285776,DisplayOnTarget,0,size_less_50,1,northeast,0,fullservice_restaurants,8
b06932,5370.87107497,8.5887453857,Social,2,size_less_50,1,northeast,0,other_ind,0
b06933,1558.87907756,7.35172230195,Social,2,size_less_50,1,south,1,other_ind,0
b06934,2494.26386518,7.82174892064,SEM,3,size_g_100,0,northeast,0,new_car_dealers,4
b06935,1063.90920679,6.96970533429,Social,2,size_g_100,0,northeast,0,new_car_dealers,4
b06936,2276.54074577,7.73041235304,Email Marketing,1,unavailable,2,northeast,0,other_ind,0
b06937,8760.80796355,9.07804341296,SEM,3,size_less_50,1,northeast,0,offices_of_lawyers,7
b06938,3821.90887051,8.24850528111,SEO,4,size_less_50,1,northeast,0,offices_of_lawyers,7
b06939,4515.60285625,8.41529397992,Social,2,size_less_50,1,northeast,0,offices_of_lawyers,7
