business_id,billed amount,log_billed_amount,product,product_idx,size,size_idx,region,region_idx,industry,industry_idx
b04801,2210.95554094,7.7011800725300015,SEO,4,size_g_100,0,midwest,2,offices_of_real_estate_agents_and_brokers,10
b10716,1394.18013335,7.2400618034500015,Social Ads,2,size_less_50,1,south,1,offices_of_all_other_miscellaneous_health_practitioners,3
b02314,2163.17117192,7.679330559169999,Display,0,size_less_50,1,northeast,0,other_ind,0
b11834,659.0646569180001,6.49082164337,Display,0,unavailable,2,northeast,0,other_ind,0
b03624,1492.3830160999996,7.30812946102,Social Ads,2,unavailable,2,northeast,0,other_ind,0
b02251,1397.87568473,7.24270899518,Display,0,size_less_50,1,northeast,0,other_ind,0
b04964,1311.74812245,7.17911597123,Display,0,size_less_50,1,northeast,0,other_ind,0
b07041,5112.26457018,8.53939774945,Display,0,size_g_100,0,midwest,2,offices_of_all_other_miscellaneous_health_practitioners,3
b12677,593.670864427,6.3863250655,Display,0,unavailable,2,northeast,0,other_ind,0
b03018,750.589371356,6.6208587264,Display,0,unavailable,2,northeast,0,other_ind,0
b00223,52439.2947687,10.8674114894,SEM,3,size_less_50,1,midwest,2,other_ind,0
b12182,2188.09351846,7.69078590416,Email,1,size_less_50,1,northeast,0,other_ind,0
b11187,1031.79939305,6.939059540569999,SEM,3,size_less_50,1,south,1,other_ind,0
b12701,20339.4971466,9.92031994691,Display,0,size_less_50,1,midwest,2,fitness_and_recreational_sports_centers,9
b02935,11863.4560159,9.38121803111,SEO,4,size_less_50,1,midwest,2,other_ind,0
b10163,1368.41621424,7.22140930208,Social Ads,2,unavailable,2,midwest,2,other_ind,0
b07951,2790.31929541,7.93391131107,SEO,4,size_less_50,1,south,1,other_ind,0
b02910,3083.01040236,8.033661801980001,Social Ads,2,size_less_50,1,midwest,2,new_car_dealers,4
b03353,2127.94884313,7.662913810289999,Display,0,unavailable,2,midwest,2,other_ind,0
b02445,1327.06655094,7.190726184500001,Display,0,unavailable,2,northeast,0,other_ind,0
b05679,6658.01916503,8.80357729663,Display,0,size_less_50,1,west,3,elementary_and_secondary_schools,6
b12392,1511.85320167,7.321091463189999,Social Ads,2,size_less_50,1,west,3,other_ind,0
b09363,4292.92786343,8.364724264780001,SEM,3,unavailable,2,south,1,other_ind,0
b01562,1895.88962507,7.547443466489999,SEM,3,unavailable,2,northeast,0,other_ind,0
